observer,condition,trial,time_taken,acc,time_taken_s
1,feature,1,27.816082,0.5897435897435898,-0.4222153840473538
1,feature,2,29.359322,0.6923076923076923,-0.15368202389872557
1,feature,3,28.376085,0.6923076923076923,-0.323087127248317
1,feature,4,29.067204,0.6153846153846154,-0.20341224507486377
1,feature,5,25.986576,0.6666666666666666,-0.760565317772697
1,feature,6,28.635575,0.717948717948718,-0.2778152549123859
1,feature,7,28.14992,0.7692307692307693,-0.36288390772055246
1,feature,8,27.579577,0.6153846153846154,-0.4646808359297426
1,feature,9,27.943069,0.6410256410256411,-0.3995630801515337
1,feature,10,29.166482,0.5641025641025641,-0.18645529749802217
1,feature,11,28.872599,0.717948717948718,-0.23681998768434534
1,feature,12,29.200224,0.6410256410256411,-0.1807052133131993
1,feature,13,28.716478,0.6666666666666666,-0.2637843893582427
1,feature,14,26.092895,0.6923076923076923,-0.7402598293717414
1,feature,15,29.554516,0.6666666666666666,-0.12072718032660801
1,feature,16,24.265137,0.8717948717948718,-1.1014278391327745
1,feature,17,26.493624,0.6923076923076923,-0.6644626100229036
1,feature,18,24.934984,0.6923076923076923,-0.9660009821415438
1,feature,19,27.975165,0.5897435897435898,-0.39385400145529065
1,feature,20,26.562024,0.6666666666666666,-0.6516395038908102
1,conjunction,1,29.07482,0.6410256410256411,-0.20210936239886884
1,conjunction,2,31.531887,0.5128205128205128,0.20135291181602868
1,conjunction,3,26.976645,0.5128205128205128,-0.5746093217719686
1,conjunction,4,29.852718,0.6410256410256411,-0.07079927051810046
1,conjunction,5,33.745247,0.6153846153846154,0.5387381015994254
1,conjunction,6,34.249172,0.5897435897435898,0.6124553483772556
1,conjunction,7,31.191942,0.6153846153846154,0.14744545227776076
1,conjunction,8,32.809937,0.46153846153846156,0.39894980940491337
1,conjunction,9,37.306033,0.5897435897435898,1.037630022187764
1,conjunction,10,32.029828,0.6410256410256411,0.2792748385817952
1,conjunction,11,34.673436,0.6410256410256411,0.6736831241134621
1,conjunction,12,31.199349,0.5384615384615384,0.1486262809562179
1,conjunction,13,36.204195,0.6153846153846154,0.8885322957101508
1,conjunction,14,35.233962,0.5384615384615384,0.7534367523060792
1,conjunction,15,43.53261,0.5128205128205128,1.805274172772757
1,conjunction,16,33.593899,0.6410256410256411,0.5163829133726763
1,conjunction,17,31.375777,0.5641025641025641,0.17666998961318617
1,conjunction,18,29.396428,0.46153846153846156,-0.14740053869170186
1,conjunction,19,30.546183,0.5128205128205128,0.04340520200509792
1,conjunction,20,34.605626,0.5641025641025641,0.6639475761266018
2,feature,1,33.848381,0.7692307692307693,0.5539143686263417
2,feature,2,33.303831,0.6666666666666666,0.47325487765157426
2,feature,3,34.587627,0.7692307692307693,0.6613602381938041
2,feature,4,32.723679,0.7692307692307693,0.3858578689706417
2,feature,5,30.512081,0.8205128205128205,0.037849947496313374
2,feature,6,30.49631,0.717948717948718,0.0352787337116391
2,feature,7,29.800467,0.7692307692307693,-0.0795115058680044
2,feature,8,29.629861,0.6666666666666666,-0.10806477797988194
2,feature,9,30.744339,0.6153846153846154,0.07556282486864084
2,feature,10,30.470761,0.5384615384615384,0.03111054744471909
2,feature,11,31.024156,0.717948717948718,0.12062151523469593
2,feature,12,32.077247,0.7692307692307693,0.28663208032150733
2,feature,13,29.543097,0.6923076923076923,-0.12264906204781312
2,feature,14,28.215869,0.717948717948718,-0.3512463636167821
2,feature,15,26.016988,0.8461538461538461,-0.7547485672106456
2,feature,16,27.630683,0.6410256410256411,-0.45547378087760443
2,feature,17,26.937992,0.6666666666666666,-0.5817402343675311
2,feature,18,26.026895,0.7692307692307693,-0.7528551732216228
2,feature,19,28.95131,0.717948717948718,-0.22328067031457177
2,feature,20,31.277351,0.6923076923076923,0.16104441660213817
2,conjunction,1,34.915389,0.717948717948718,0.7082660533073154
2,conjunction,2,36.779603,0.7435897435897436,0.9669523163093582
2,conjunction,3,30.601111,0.6410256410256411,0.05234000904910683
2,conjunction,4,32.65464,0.6410256410256411,0.3753544806662876
2,conjunction,5,32.831873,0.6410256410256411,0.40227369007226627
2,conjunction,6,29.77197,0.6410256410256411,-0.08426948273843761
2,conjunction,7,29.375919,0.7692307692307693,-0.15087142178766183
2,conjunction,8,33.332838,0.6153846153846154,0.47758458039074597
2,conjunction,9,33.658241,0.5641025641025641,0.5258989717611402
2,conjunction,10,34.955151,0.5128205128205128,0.7139263954837731
2,conjunction,11,37.27293,0.6666666666666666,1.0332151355163086
2,conjunction,12,35.222851,0.6153846153846154,0.7518682011969765
2,conjunction,13,35.445622,0.717948717948718,0.7832229195023204
2,conjunction,15,32.732949,0.5128205128205128,0.3872664914859439
2,conjunction,16,34.095675,0.5128205128205128,0.5901163670998198
2,conjunction,17,41.598957,0.7435897435897436,1.5793143975161297
2,conjunction,18,36.261644,0.6153846153846154,0.8964175872922265
2,conjunction,19,37.111824,0.6153846153846154,1.0116725919156555
2,conjunction,20,28.112004,0.5641025641025641,-0.3695870203737415
3,feature,1,31.48702,0.5128205128205128,0.1942714200218713
3,feature,2,34.119815,0.6923076923076923,0.5936362060956132
3,feature,3,34.664215,0.5384615384615384,0.672360375187536
3,feature,4,30.062807,0.5384615384615384,-0.035922662337666944
3,feature,5,31.049424,0.6923076923076923,0.124670373895163
3,feature,6,29.43223,0.5128205128205128,-0.14134731228305517
3,feature,7,26.937855,0.5641025641025641,-0.581765527054779
3,feature,9,30.840855,0.6153846153846154,0.0911508778820859
3,feature,10,32.168692,0.48717948717948717,0.30078946700385567
3,feature,11,26.320113,0.6153846153846154,-0.6971402131944539
3,feature,12,28.928105,0.5128205128205128,-0.227268402473767
3,feature,13,29.989623,0.5384615384615384,-0.048044104397358255
3,feature,14,27.142785,0.6153846153846154,-0.5440748174574366
3,feature,15,27.75889,0.5897435897435898,-0.4324512526551526
3,feature,16,25.022158,0.6153846153846154,-0.9486446342025644
3,feature,17,30.22799,0.6410256410256411,-0.008671569158444848
3,feature,18,24.789712,0.6153846153846154,-0.9950599063490548
3,feature,19,24.774577,0.6410256410256411,-0.9980971670848426
3,feature,20,26.645488,0.6923076923076923,-0.6360369706472265
3,conjunction,1,30.876183,0.5384615384615384,0.0968444200578152
3,conjunction,2,33.247806,0.5128205128205128,0.46488167228796495
3,conjunction,3,32.182978,0.48717948717948717,0.3029975701103541
3,conjunction,4,29.488609,0.5897435897435898,-0.13182993915046523
