observer,condition,trial,targ_type,x,y,found
1,1,4,0,-1.0470481693728895,1.3206071917782387,29
1,1,4,0,-1.0584233920406338,1.6253356506685814,30
1,1,5,0,-0.48966225865342233,-1.0468985272928872,1
1,1,5,1,-0.717166712008307,-1.1055001540025684,2
1,1,5,1,-0.8536693840212377,-1.0351782019509508,3
1,1,5,0,-0.9787968333664242,-1.1992627567380585,4
1,1,5,0,-1.513432298750403,-1.2930253594735486,5
1,1,5,0,-1.9570659827924277,-1.093779828660632,6
1,1,5,0,-1.7636871974407762,-0.7656107190864168,7
1,1,5,0,-1.6840606387665664,-0.4140009588283287,8
1,1,5,1,-1.5475579667536357,-0.13271315062185832,9
1,1,5,0,-1.4565561854116817,-0.3085180307509023,10
1,1,5,1,-1.4451809627439376,-0.5194838869057551,11
1,1,5,1,-1.26317740006003,-0.4140009588283287,12
1,1,5,0,-1.2404269547245417,-0.16787412664766713,13
1,1,5,0,-1.3769296267374722,0.3478201883975286,14
1,1,5,0,-1.5361827440858915,0.5001844178427001,15
1,1,5,1,-1.2290517320567973,0.4298624657910824,16
1,1,5,0,-1.0242977240374012,0.1368543322426758,17
1,1,5,1,-0.8195437160180049,-0.26163672938315724,18
1,1,5,1,-0.6489153760018415,-0.1795944519896034,19
1,1,5,1,-0.3531595866404915,-0.1444334759637946,20
1,1,5,0,-0.2735330279662819,-0.28507738006702976,21
1,1,5,0,-0.2735330279662819,-0.6015261642993089,22
1,1,5,1,0.0222227613950681,-0.5780855136154364,23
1,1,5,0,0.2838528827531853,-0.7421700684025442,24
1,1,5,0,0.4317307774338604,-0.6484074656670541,25
1,1,5,1,0.6933608987919777,-0.7656107190864168,26
1,1,5,1,1.1711202508372354,-0.8828139725057794,27
1,1,5,0,1.3644990361888871,-1.1992627567380585,28
1,1,5,0,1.1597450281694912,-1.3633473115251662,29
1,1,5,1,0.9322405748146066,-1.4336692635767838,30
1,2,1,0,-0.11427991061786269,-0.42572128417026495,1
1,2,1,1,-0.2735330279662819,-0.6015261642993089,2
1,2,1,0,-0.48966225865342233,-1.0468985272928872,3
1,2,1,1,-0.626164930666353,-0.9882969005832059,4
1,2,1,0,-0.7854180480147723,-0.9062546231896518,5
1,2,1,0,-0.9219207200277031,-0.8593733218219068,6
1,2,1,1,-0.8195437160180049,-0.26163672938315724,7
1,2,1,0,-0.6489153760018415,-0.1795944519896034,8
1,2,1,1,-0.5124127039889107,-0.09755217459604952,9
1,2,1,1,-0.3986604773114684,-0.24991640404122098,10
1,2,1,1,-0.2735330279662819,-0.28507738006702976,11
1,2,1,0,0.0222227613950681,-0.5780855136154364,12
1,2,1,0,0.14735021074025462,-0.6835684416928628,13
1,2,1,1,0.4317307774338604,-0.6484074656670541,14
1,2,1,1,0.4999821134403257,-0.8476529964799705,15
1,2,1,1,0.6933608987919777,-0.7656107190864168,16
1,2,1,0,0.659235230788745,-0.5663651882735001,17
1,2,1,1,0.863989238808141,-0.3436790067767111,18
1,2,1,0,0.5454830041113027,-0.15615380130573084,19
1,2,1,0,0.2838528827531853,0.05481205484912194,20
1,2,1,0,0.10184932006927772,0.31265921237171973,21
1,2,1,1,0.033597984062812315,0.46502344181689126,22
1,2,1,0,-0.011902906608164595,0.5939470205781902,23
1,2,1,0,-0.1256551332856069,1.2151242637008122,24
1,2,1,0,-0.10290468795011844,1.4612510958814737,25
1,2,1,1,-5.276839404203539e-4,1.6136153253266452,26
1,2,1,1,0.15872543340799886,1.695657602720199,27
1,2,1,0,0.1245997654047662,1.8480218321653705,28
1,2,1,1,0.13597498807251038,2.0238267122944147,29
1,2,1,0,-0.0915294652823742,2.0238267122944147,30
1,2,2,1,0.010847538727323861,-0.29679770540896605,1
1,2,2,0,-0.11427991061786269,-0.42572128417026495,2
1,2,2,1,-0.2735330279662819,-0.6015261642993089,3
1,2,2,1,-0.3872852546437242,-0.5429245375896277,4
1,2,2,1,-0.8195437160180049,-0.26163672938315724,5
1,2,2,1,-0.6489153760018415,-0.1795944519896034,6
1,2,2,1,-0.5124127039889107,-0.09755217459604952,7
1,2,2,1,-0.3531595866404915,-0.1444334759637946,8
1,2,2,0,-0.3986604773114684,-0.24991640404122098,9
1,2,2,0,-0.7626676026792838,0.007930753481376871,10
1,2,2,0,-0.7854180480147723,-0.9062546231896518,11
1,2,2,1,-0.717166712008307,-1.1055001540025684,12
1,2,2,0,-0.9787968333664242,-1.1992627567380585,13
1,2,2,0,-1.513432298750403,-1.2930253594735486,14
1,2,2,1,-1.6726854160988223,-1.3399066608412937,15
1,2,2,0,-1.7750624201085203,-1.0234578766090145,16
1,2,2,1,-1.7636871974407762,-0.7656107190864168,17
1,2,2,1,-1.6271845254278452,-0.6366871403251178,18
1,2,2,1,-1.7636871974407762,-0.20303510267347594,19
1,2,2,1,-1.3769296267374722,0.3478201883975286,20
1,2,2,1,-1.2290517320567973,0.4298624657910824,21
1,2,2,1,-0.5465383719921435,0.5587860445523813,22
1,2,2,1,-0.5579135946598877,0.8400738527588517,23
1,2,2,0,-0.7057914893405627,0.7697519007072342,24
1,2,2,1,-1.2063012867213088,1.156522636991131,25
1,2,2,0,-1.3769296267374722,1.2854462157524298,26
1,2,2,1,-1.5248075214181473,1.2854462157524298,27
1,2,2,0,-1.9229403147891955,0.9338364554943418,28
1,2,2,0,-2.0253173187988933,0.8049128767330429,29
1,2,2,1,-1.9570659827924277,0.5119047431846363,30
1,2,3,0,0.010847538727323861,-0.29679770540896605,1
1,2,3,1,0.13597498807251038,-0.20303510267347594,2
1,2,3,1,0.4317307774338604,-0.19131477733153965,3
1,2,3,1,0.5454830041113027,-0.15615380130573084,4
1,2,3,0,0.6137343401177681,0.5119047431846363,5
1,2,3,1,0.39760510943062766,0.629107996603999,6
1,2,3,1,-0.011902906608164595,0.5939470205781902,7
1,2,3,0,0.033597984062812315,0.46502344181689126,8
1,2,3,0,0.10184932006927772,0.31265921237171973,9
1,2,3,0,0.15872543340799886,0.11341368155880327,10
1,2,3,0,0.0222227613950681,-0.5780855136154364,11
1,2,3,1,0.2838528827531853,-0.7421700684025442,12
1,2,3,0,0.659235230788745,-0.5663651882735001,13
1,2,3,0,0.6933608987919777,-0.7656107190864168,14
1,2,3,1,0.8298635708049085,-1.2461440581058036,15
1,2,3,1,1.1597450281694912,-1.3633473115251662,16
1,2,3,0,1.1597450281694912,-1.5039912156284014,17
1,2,3,1,0.9322405748146066,-1.4336692635767838,18
1,2,3,1,0.6706104534564892,-1.4219489382348476,19
1,2,3,1,0.48860689077258157,-1.3750676368671024,20
1,2,3,0,0.863989238808141,-0.3436790067767111,21
1,2,3,1,1.2848724775146776,0.101693356216867,22
1,2,3,1,1.933260169576099,-0.03895054788636819,23
1,2,3,1,1.6147539348792603,0.3478201883975286,24
1,2,3,0,1.6716300482179816,0.7463112500233616,25
1,2,3,1,1.0573680241597931,0.7931925513911067,26
1,2,3,1,0.6819856761242334,0.629107996603999,27
1,2,3,1,0.9777414654855834,0.9924380822040232,28
1,2,3,0,1.1142441374985141,1.0744803595975772,29
1,2,3,1,0.4431060001016046,1.7190982534040717,30
1,2,4,1,0.010847538727323861,-0.29679770540896605,1
1,2,4,0,0.09047409740153348,-0.4726025855380101,2
1,2,4,0,0.0222227613950681,-0.5780855136154364,3
1,2,4,0,-0.11427991061786269,-0.42572128417026495,4
1,2,4,1,-0.2735330279662819,-0.6015261642993089,5
1,2,4,0,-0.9219207200277031,-0.8593733218219068,6
1,2,4,0,-1.1152995053793548,-0.8007716951122255,7
1,2,4,1,-1.2518021773922858,-0.7890513697702891,8
1,2,4,1,-1.3314287360664954,-0.6718481163509266,9
1,2,4,1,-1.4451809627439376,-0.5194838869057551,10
1,2,4,0,-1.4565561854116817,-0.3085180307509023,11
1,2,4,1,-1.6840606387665664,-0.4140009588283287,12
1,2,4,1,-2.059442986802126,-0.7304497430606078,13
1,2,4,0,-1.9570659827924277,-1.093779828660632,14
1,2,4,1,-0.9787968333664242,-1.1992627567380585,15
1,2,4,0,-0.8650446066889819,-1.44538958891872,16
1,2,4,1,-0.4100356999792127,-1.35162698618323,17
1,2,4,0,0.2838528827531853,-0.7421700684025442,18
1,2,4,0,0.4317307774338604,-0.6484074656670541,19
1,2,4,1,0.863989238808141,-0.3436790067767111,20
1,2,4,1,1.0346175788243046,-0.19131477733153965,21
1,2,4,1,1.1483698055017468,0.3595405137394649,22
1,2,4,0,1.1256193601662585,0.5939470205781902,23
1,2,4,1,1.262122032179189,0.7463112500233616,24
1,2,4,1,1.3303733681856547,0.9572771061782145,25
1,2,4,1,0.9777414654855834,0.5939470205781902,26
1,2,4,0,0.9891166881533278,0.37126083908140106,27
1,2,4,0,1.6147539348792603,0.3478201883975286,28
1,2,4,0,1.7626318295599355,0.1368543322426758,29
1,2,4,0,1.7171309388889584,-0.16787412664766713,30
1,2,5,1,-0.11427991061786269,-0.42572128417026495,1
1,2,5,1,0.14735021074025462,-0.6835684416928628,2
1,2,5,0,0.09047409740153348,-0.4726025855380101,3
1,2,5,1,0.13597498807251038,-0.20303510267347594,4
1,2,5,1,0.2838528827531853,0.05481205484912194,5
1,2,5,0,0.15872543340799886,0.5001844178427001,6
1,2,5,1,-0.011902906608164595,0.5939470205781902,7
1,2,5,1,-0.5010374813211665,1.0041584075459593,8
1,2,5,0,-0.7057914893405627,0.7697519007072342,9
1,2,5,0,-0.5579135946598877,0.8400738527588517,10
1,2,5,1,-0.36453480930823573,1.1448023116491948,11
1,2,5,1,-0.023278129275908836,1.3088868664363025,12
1,2,5,0,0.07909887473378922,1.250285239726621,13
1,2,5,0,0.20422632407897578,1.2737258904104936,14
1,2,5,1,0.48860689077258157,1.37920881848792,15
1,2,5,1,0.6706104534564892,1.3674884931459839,16
1,2,5,1,0.8753644614758854,1.1682429623330672,17
1,2,5,1,0.9777414654855834,0.9924380822040232,18
1,2,5,1,1.0573680241597931,0.7931925513911067,19
1,2,5,1,1.1256193601662585,0.5939470205781902,20
1,2,5,1,1.1483698055017468,0.3595405137394649,21
1,2,5,0,0.9891166881533278,0.37126083908140106,22
1,2,5,1,1.4896264855340737,0.5939470205781902,23
1,2,5,1,1.6943804935534699,0.4884640925007637,24
1,2,5,0,1.4213751495276084,-0.06239119857024072,25
1,2,5,1,0.863989238808141,-0.3436790067767111,26
1,2,5,1,0.659235230788745,-0.5663651882735001,27
1,2,5,1,0.2838528827531853,-0.7421700684025442,28
1,2,5,0,-0.7854180480147723,-0.9062546231896518,29
1,2,5,1,-0.8195437160180049,-0.26163672938315724,30
2,1,1,0,0.0222227613950681,-0.5780855136154364,1
2,1,1,0,0.22697676941446426,-1.3281863354993573,2
2,1,1,0,0.4317307774338604,-1.8321603252026168,3
2,1,1,1,0.48860689077258157,-1.3750676368671024,4
2,1,1,0,0.4999821134403257,-0.8476529964799705,5
2,1,1,1,0.659235230788745,-0.5663651882735001,6
2,1,1,0,0.863989238808141,-0.3436790067767111,7
2,1,1,1,0.6933608987919777,-0.1444334759637946,8
2,1,1,1,0.6023591174500239,-0.3085180307509023,9
2,1,1,0,0.6933608987919777,-0.7656107190864168,10
2,1,1,0,0.8753644614758854,-0.9648562498993332,11
2,1,1,0,1.1711202508372354,-0.8828139725057794,12
2,1,1,1,1.5920034895437718,-0.4843229108799463,13
2,1,1,1,1.0573680241597931,-1.0468985272928872,14
2,1,1,0,0.6706104534564892,-1.4219489382348476,15
2,1,1,0,0.6706104534564892,0.25405758566203845,16
2,1,1,0,0.6137343401177681,0.5119047431846363,17
2,1,1,1,0.39760510943062766,0.629107996603999,18
2,1,1,0,0.26110243741769695,0.5470657192104451,19
2,1,1,0,-0.011902906608164595,0.5939470205781902,20
2,1,1,0,-0.6147897079986088,0.37126083908140106,21
2,1,1,0,-0.9105454973599588,0.1251340069007395,22
2,1,1,1,-0.9105454973599588,-0.074111523912177,23
2,1,1,0,-0.7626676026792838,0.007930753481376871,24
2,1,1,1,-0.48966225865342233,0.18373563361042083,25
2,1,1,0,-0.48966225865342233,0.25405758566203845,26
2,1,1,1,-0.2735330279662819,0.3360998630555923,27
2,1,1,1,-1.2404269547245417,-0.16787412664766713,28
2,1,1,1,-1.6840606387665664,-0.4140009588283287,29
2,1,1,1,-2.059442986802126,-0.7304497430606078,30
2,1,2,0,0.14735021074025462,-0.6835684416928628,1
2,1,2,0,0.22697676941446426,-1.3281863354993573,2
2,1,2,1,0.4999821134403257,-0.8476529964799705,3
2,1,2,0,0.6933608987919777,-0.7656107190864168,4
2,1,2,0,1.1711202508372354,-0.8828139725057794,5
2,1,2,1,1.3872494815243759,-1.3633473115251662,6
2,1,2,1,1.1597450281694912,-1.5039912156284014,7
2,1,2,1,0.6706104534564892,-1.4219489382348476,8
2,1,2,0,0.48860689077258157,-1.3750676368671024,9
2,1,2,0,0.8753644614758854,-0.9648562498993332,10
2,1,2,1,1.0346175788243046,-0.19131477733153965,11
2,1,2,0,1.4213751495276084,-0.06239119857024072,12
2,1,2,1,1.7626318295599355,0.1368543322426758,13
2,1,2,1,1.9105097242406102,0.46502344181689126,14
2,1,2,0,1.4896264855340737,0.5939470205781902,15
2,1,2,0,1.1256193601662585,0.5939470205781902,16
2,1,2,0,1.6716300482179816,0.7463112500233616,17
2,1,2,1,1.205245918840468,1.2620055650685573,18
2,1,2,0,0.8753644614758854,1.1682429623330672,19
2,1,2,1,0.48860689077258157,1.37920881848792,20
2,1,2,1,0.9436157974823508,1.906623458875052,21
2,1,2,1,1.1142441374985141,1.0744803595975772,22
2,1,2,0,0.20422632407897578,1.2737258904104936,23
2,1,2,0,0.6706104534564892,1.3674884931459839,24
2,1,2,1,0.7502370121306987,0.9103958048104693,25
2,1,2,0,0.1701006560757431,0.722870599339489,26
2,1,2,1,0.6933608987919777,-0.1444334759637946,27
2,1,2,0,0.6023591174500239,-0.3085180307509023,28
2,1,2,0,0.863989238808141,-0.3436790067767111,29
2,1,2,1,1.1483698055017468,0.3595405137394649,30
2,1,3,1,-0.11427991061786269,-0.42572128417026495,1
2,1,3,0,-0.2735330279662819,-0.6015261642993089,2
2,1,3,0,-0.6489153760018415,-0.1795944519896034,3
2,1,3,0,-0.3986604773114684,-0.24991640404122098,4
2,1,3,0,-0.3531595866404915,-0.1444334759637946,5
2,1,3,1,-0.48966225865342233,0.18373563361042083,6
2,1,3,0,-0.6944162666728184,0.18373563361042083,7
2,1,3,1,-0.8877950520244704,0.30093888702978355,8
2,1,3,1,-0.7057914893405627,0.7697519007072342,9
2,1,3,0,-0.5579135946598877,0.8400738527588517,10
2,1,3,0,-0.37591003197597994,0.9338364554943418,11
2,1,3,0,-0.36453480930823573,1.1448023116491948,12
2,1,3,1,-0.7399171573437954,0.980717756862087,13
2,1,3,1,-1.0242977240374012,0.1368543322426758,14
2,1,3,1,-1.3314287360664954,-0.6718481163509266,15
2,1,3,1,-1.4679314080794261,-1.5860334930219553,16
2,1,3,1,-1.2404269547245417,-1.6446351197316367,17
2,1,3,0,-0.717166712008307,-1.1055001540025684,18
2,1,3,1,-0.3872852546437242,-0.5429245375896277,19
2,1,3,1,0.09047409740153348,-0.4726025855380101,20
2,1,3,0,0.14735021074025462,-0.6835684416928628,21
2,1,3,1,-0.48966225865342233,-1.0468985272928872,22
2,1,3,1,-0.8536693840212377,-1.0351782019509508,23
2,1,3,1,-1.0015472787019126,-1.000017225925142,24
2,1,3,0,-1.513432298750403,-1.2930253594735486,25
2,1,3,0,-1.9570659827924277,-1.093779828660632,26
2,1,3,1,-2.059442986802126,-0.7304497430606078,27
2,1,3,0,-1.6271845254278452,-0.6366871403251178,28
2,1,3,0,-1.4565561854116817,-0.3085180307509023,29
2,1,3,1,-1.3769296267374722,0.3478201883975286,30
2,1,4,1,-0.11427991061786269,-0.42572128417026495,1
2,1,4,0,0.0222227613950681,-0.5780855136154364,2
2,1,4,1,0.13597498807251038,-0.20303510267347594,3
2,1,4,1,0.15872543340799886,0.11341368155880327,4
2,1,4,1,0.15872543340799886,0.5001844178427001,5
2,1,4,0,-0.011902906608164595,0.5939470205781902,6
2,1,4,0,-0.48966225865342233,0.25405758566203845,7
2,1,4,0,-0.6147897079986088,0.37126083908140106,8
2,1,4,1,-0.7057914893405627,0.7697519007072342,9
2,1,4,0,-0.7399171573437954,0.980717756862087,10
2,1,4,0,-0.7740428253470281,1.37920881848792,11
2,1,4,0,-1.3086782907310068,1.3674884931459839,12
2,1,4,1,-1.5248075214181473,1.37920881848792,13
2,1,4,1,-1.615809302760101,1.5901746746427727,14
2,1,4,1,-1.069798614708378,1.906623458875052,15
2,1,4,0,-0.9446711653631914,1.9417844349008608,16
2,1,4,0,-1.217676509389053,0.9924380822040232,17
2,1,4,0,-1.2973030680632627,0.7814722260491703,18
2,1,4,0,-1.5248075214181473,0.629107996603999,19
2,1,4,1,-1.6271845254278452,-0.6366871403251178,20
2,1,4,1,-1.3314287360664954,-0.6718481163509266,21
2,1,4,0,-1.4565561854116817,-0.3085180307509023,22
2,1,4,1,-1.4110552947407051,-0.0037895718605593983,23
2,1,4,1,-1.2290517320567973,0.4298624657910824,24
2,1,4,0,-1.2063012867213088,1.156522636991131,25
2,1,4,1,-1.4110552947407051,1.0862006849395134,26
2,1,4,1,-0.34178436397274725,0.6994299486556165,27
2,1,4,1,0.07909887473378922,1.250285239726621,28
2,1,4,1,0.15872543340799886,1.695657602720199,29
2,1,4,1,0.13597498807251038,2.0238267122944147,30
2,1,5,1,0.09047409740153348,-0.4726025855380101,1
2,1,5,0,0.4317307774338604,-0.6484074656670541,2
2,1,5,1,0.659235230788745,-0.5663651882735001,3
2,1,5,0,0.4431060001016046,-0.4140009588283287,4
2,1,5,1,0.4317307774338604,-0.19131477733153965,5
2,1,5,1,0.6706104534564892,0.25405758566203845,6
2,1,5,1,0.6819856761242334,0.629107996603999,7
2,1,5,0,0.7047361214597219,1.0393193835717682,8
2,1,5,0,0.27247766008544116,1.5198527225911551,9
2,1,5,1,-0.03465335194365305,1.8011405307976256,10
2,1,5,1,-0.23940735996304924,2.0589876883202236,11
2,1,5,1,-1.069798614708378,1.906623458875052,12
2,1,5,0,-1.0584233920406338,1.6253356506685814,13
2,1,5,1,-1.0470481693728895,1.3206071917782387,14
2,1,5,1,-1.2973030680632627,0.7814722260491703,15
2,1,5,0,-1.5475579667536357,0.7931925513911067,16
2,1,5,0,-1.7409367521052876,0.722870599339489,17
2,1,5,1,-1.5361827440858915,0.5001844178427001,18
2,1,5,0,-1.2290517320567973,0.4298624657910824,19
2,1,5,1,-0.8877950520244704,0.30093888702978355,20
2,1,5,0,-0.6489153760018415,-0.1795944519896034,21
2,1,5,1,-0.3531595866404915,-0.1444334759637946,22
2,1,5,1,-0.3986604773114684,-0.24991640404122098,23
2,1,5,0,0.14735021074025462,-0.6835684416928628,24
2,1,5,1,0.6933608987919777,-0.7656107190864168,25
2,1,5,0,1.1711202508372354,-0.8828139725057794,26
2,1,5,1,1.3644990361888871,-1.1992627567380585,27
2,1,5,1,1.3872494815243759,-1.3633473115251662,28
2,1,5,0,1.1597450281694912,-1.5039912156284014,29
2,1,5,0,0.8526140161403969,-1.5625928423380826,30
2,2,1,1,0.09047409740153348,-0.4726025855380101,1
2,2,1,1,0.4431060001016046,-0.4140009588283287,2
2,2,1,0,1.1256193601662585,-0.5312042122476914,3
2,2,1,1,1.353123813521143,-0.6835684416928628,4
2,2,1,0,1.6488796028824932,-0.777331044428353,5
2,2,1,1,1.7057557162212142,-0.6718481163509266,6
2,2,1,0,1.7171309388889584,-0.16787412664766713,7
2,2,1,1,1.7626318295599355,0.1368543322426758,8
2,2,1,1,1.6716300482179816,0.7463112500233616,9
2,2,1,0,1.3303733681856547,0.9572771061782145,10
2,2,1,0,0.8753644614758854,1.1682429623330672,11
2,2,1,0,0.6706104534564892,1.3674884931459839,12
2,2,1,1,0.20422632407897578,1.2737258904104936,13
2,2,1,1,-0.18253124662432804,0.7814722260491703,14
2,2,1,0,-0.5579135946598877,0.8400738527588517,15
2,2,1,0,-0.7057914893405627,0.7697519007072342,16
2,2,1,1,-1.2063012867213088,1.156522636991131,17
2,2,1,0,-1.6044340800923569,1.1096413356233858,18
2,2,1,1,-1.9229403147891955,0.9338364554943418,19
2,2,1,1,-2.1163191001408475,0.6642689726298078,20
2,2,1,1,-1.7864376427762645,0.4767437671588275,21
2,2,1,1,-1.5361827440858915,0.5001844178427001,22
2,2,1,0,-1.2290517320567973,0.4298624657910824,23
2,2,1,0,-0.8877950520244704,0.30093888702978355,24
2,2,1,1,-0.6944162666728184,0.18373563361042083,25
2,2,1,1,-0.6489153760018415,-0.1795944519896034,26
2,2,1,0,-0.8195437160180049,-0.26163672938315724,27
2,2,1,0,-0.3872852546437242,-0.5429245375896277,28
2,2,1,0,-0.2735330279662819,-0.6015261642993089,29
2,2,1,1,0.2838528827531853,-0.7421700684025442,30
2,2,2,0,1.5920034895437718,-0.4843229108799463,1
2,2,2,1,1.7171309388889584,-0.16787412664766713,2
